layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
121,Linear,0.05684335081781233,4096,4096,1.0,5.371049693599477,-4.106964755945693,-0.9603721923984322,True,0.172,LAYER_TYPE.DENSE,-3.3653703174324376,1.588,-0.7646,_orig_mod.model.layers.8.self_attn.v_proj,0,38.7,4096,49,4096,1,0.624435670514211,0.172,224.9,success,0.414794921875,,48,0.1719970703125,0.0777587890625
122,Linear,0.043824285949285446,4096,4096,1.0,4.906484523986237,-3.8427740119501586,-0.9700160972593369,True,0.1647,LAYER_TYPE.DENSE,-3.187873241365846,1.599,-0.783,_orig_mod.model.layers.8.self_attn.o_proj,0,39.66,4096,100,4096,1,0.3906484523986237,0.1647,240.9,success,0.40576171875,,43,0.1646728515625,0.054656982421875
125,Linear,0.04439187916688145,4096,11008,2.6875,3.6518376982658025,-0.1897912475630695,-0.9868929307659203,True,0.887,LAYER_TYPE.DENSE,0.412125269389201,2.193,-0.05197,_orig_mod.model.layers.8.mlp.gate_proj,0,156.1,4096,121,4096,1,0.24107615438780022,0.887,176.0,success,0.94189453125,,0,0.88720703125,0.1746826171875
126,Linear,0.0509373267405292,4096,11008,2.6875,3.7466367565795813,-0.8863503459779332,-0.9893039069811465,True,0.58,LAYER_TYPE.DENSE,-0.03634253278945952,2.143,-0.2366,_orig_mod.model.layers.8.mlp.up_proj,0,138.6,4096,168,4096,1,0.2119076263346221,0.58,239.0,success,0.76171875,,0,0.580078125,0.131591796875
127,Linear,0.03905397790130949,4096,11008,2.6875,7.570928540949377,-3.5045118441503953,-1.0029661055340948,True,0.3445,LAYER_TYPE.DENSE,-3.186557975310609,2.139,-0.463,_orig_mod.model.layers.8.mlp.down_proj,0,137.4,4096,23,4096,1,1.3701333145269687,0.3445,398.8,success,0.5869140625,under-trained,0,0.344482421875,0.183837890625
133,Linear,0.03733526598884429,4096,4096,1.0,3.749174839579461,-0.6631536062683886,-0.9378697477229878,True,0.6655,LAYER_TYPE.DENSE,-0.33571337894787545,1.733,-0.1769,_orig_mod.model.layers.9.self_attn.q_proj,0,54.12,4096,57,4096,1,0.36413710302520974,0.6655,81.3,success,0.81591796875,,63,0.66552734375,0.1265869140625
134,Linear,0.02026789198283696,4096,4096,1.0,3.309087772089186,0.07518358906007076,-0.9338514540309442,True,1.054,LAYER_TYPE.DENSE,0.30856154489540083,1.762,0.02272,_orig_mod.model.layers.9.self_attn.k_proj,0,57.8,4096,70,4096,1,0.27598877666652105,1.054,54.88,success,1.0263671875,,59,1.0537109375,0.12103271484375
135,Linear,0.04388943037630311,4096,4096,1.0,4.50787918298858,-2.9230779077191573,-0.9579612161832061,True,0.2247,LAYER_TYPE.DENSE,-2.4043289828955086,1.585,-0.6484,_orig_mod.model.layers.9.self_attn.v_proj,0,38.47,4096,71,4096,1,0.4163086673530886,0.2247,171.1,success,0.47412109375,,50,0.2247314453125,0.067626953125
136,Linear,0.034935999437895826,4096,4096,1.0,5.2335964802790995,-3.853644283330509,-0.9684087797825195,True,0.1836,LAYER_TYPE.DENSE,-3.3904758948795757,1.595,-0.7363,_orig_mod.model.layers.9.self_attn.o_proj,0,39.34,4096,55,4096,1,0.570858032945807,0.1836,214.2,success,0.428466796875,,43,0.18359375,0.06561279296875
139,Linear,0.05116829349076496,4096,11008,2.6875,3.1798089010623465,-0.31693285738737864,-0.987696589504329,True,0.795,LAYER_TYPE.DENSE,0.5356236964731835,2.19,-0.0997,_orig_mod.model.layers.9.mlp.gate_proj,0,154.6,4096,296,4096,1,0.12669881883062867,0.795,194.5,success,0.8916015625,,0,0.794921875,0.108154296875
140,Linear,0.05285546919621864,4096,11008,2.6875,3.6177856970192535,-0.8518931408142261,-0.9893039069811465,True,0.5815,LAYER_TYPE.DENSE,0.02232525650430043,2.143,-0.2355,_orig_mod.model.layers.9.mlp.up_proj,0,139.0,4096,210,4096,1,0.18064437512520057,0.5815,239.0,success,0.7626953125,,0,0.58154296875,0.11785888671875
141,Linear,0.051474669387831073,4096,11008,2.6875,6.266799130663762,-2.873302921725231,-1.0029661055340948,True,0.348,LAYER_TYPE.DENSE,-2.3423787090288464,2.137,-0.4585,_orig_mod.model.layers.9.mlp.down_proj,0,136.9,4096,49,4096,1,0.7523998758091089,0.348,393.5,success,0.58984375,under-trained,0,0.347900390625,0.1593017578125
147,Linear,0.027748480494974137,4096,4096,1.0,3.235156723993324,1.6602293539633708,-0.9226002316932219,True,3.26,LAYER_TYPE.DENSE,1.6673511341194687,1.78,0.513,_orig_mod.model.layers.10.self_attn.q_proj,0,60.34,4096,83,4096,1,0.24534032377010775,3.26,18.52,success,1.8056640625,,53,3.259765625,0.1102294921875
148,Linear,0.02455561156926278,4096,4096,1.0,3.1369059155052166,2.6743348283555215,-0.8976868108025513,True,7.117,LAYER_TYPE.DENSE,2.6746578608708185,1.822,0.8525,_orig_mod.model.layers.10.self_attn.k_proj,0,66.44,4096,90,4096,1,0.2252496612827935,7.117,9.336,success,2.66796875,,53,7.1171875,0.109130859375
149,Linear,0.059681157690139486,4096,4096,1.0,5.278633345578023,-4.492508750655515,-0.9619795098752497,True,0.1409,LAYER_TYPE.DENSE,-3.5774377960292205,1.567,-0.851,_orig_mod.model.layers.10.self_attn.v_proj,0,36.9,4096,70,4096,1,0.5113944983486984,0.1409,262.0,success,0.375244140625,,50,0.140869140625,0.0638427734375
150,Linear,0.0443451650238359,4096,4096,1.0,4.408000851572392,-3.6030241335606363,-0.9684087797825195,True,0.1523,LAYER_TYPE.DENSE,-2.646500321824803,1.597,-0.8174,_orig_mod.model.layers.10.self_attn.o_proj,0,39.47,4096,118,4096,1,0.3137319081733415,0.1523,259.0,success,0.390380859375,,42,0.15234375,0.051544189453125
153,Linear,0.04785210156135067,4096,11008,2.6875,3.2719559256809387,-0.3071452767149221,-0.9885002482427377,True,0.8057,LAYER_TYPE.DENSE,0.49622030825141417,2.193,-0.0939,_orig_mod.model.layers.10.mlp.gate_proj,0,156.4,4096,266,4096,1,0.1393025555610965,0.8057,194.1,success,0.8974609375,,0,0.8056640625,0.11614990234375
154,Linear,0.05033896476893962,4096,11008,2.6875,3.6057839905432827,-0.84906705539038,-0.990911224457964,True,0.5815,LAYER_TYPE.DENSE,0.03922915065821493,2.148,-0.2355,_orig_mod.model.layers.10.mlp.up_proj,0,141.0,4096,216,4096,1,0.1773011432428997,0.5815,242.5,success,0.7626953125,,0,0.58154296875,0.1173095703125
155,Linear,0.04753259856963732,4096,11008,2.6875,5.176755736499554,-2.498644065200102,-1.0029661055340948,True,0.329,LAYER_TYPE.DENSE,-1.668771474916615,2.139,-0.4827,_orig_mod.model.layers.10.mlp.down_proj,0,137.9,4096,134,4096,1,0.3608167402127784,0.329,419.0,success,0.57373046875,,0,0.3291015625,0.12225341796875
161,Linear,0.025428306188168825,4096,4096,1.0,3.323565469531407,1.1424756301514212,-0.9290295016004917,True,2.207,LAYER_TYPE.DENSE,1.1682356984994056,1.764,0.3438,_orig_mod.model.layers.11.self_attn.q_proj,0,58.0,4096,82,4096,1,0.2565948807351706,2.207,26.28,success,1.4853515625,,55,2.20703125,0.10894775390625
162,Linear,0.029673965614581577,4096,4096,1.0,3.0072739108076485,2.21140356917789,-0.9057233981866386,True,5.438,LAYER_TYPE.DENSE,2.217830473959676,1.811,0.7354,_orig_mod.model.layers.11.self_attn.k_proj,0,64.7,4096,120,4096,1,0.18323820000682697,5.438,11.9,success,2.33203125,,56,5.4375,0.09063720703125
163,Linear,0.055514478698477476,4096,4096,1.0,5.8500263797157785,-5.210179744434365,-0.9668014623057021,True,0.1287,LAYER_TYPE.DENSE,-4.452860429246074,1.555,-0.8906,_orig_mod.model.layers.11.self_attn.v_proj,0,35.88,4096,61,4096,1,0.6209822452510473,0.1287,278.8,success,0.358642578125,,48,0.128662109375,0.060455322265625
164,Linear,0.04600572411264975,4096,4096,1.0,6.025106046857171,-5.263141952064198,-0.9724270734745631,True,0.1338,LAYER_TYPE.DENSE,-4.706307915349016,1.574,-0.8735,_orig_mod.model.layers.11.self_attn.o_proj,0,37.5,4096,62,4096,1,0.6381891061402859,0.1338,280.2,success,0.36572265625,under-trained,42,0.1337890625,0.05743408203125
167,Linear,0.04100840887770163,4096,11008,2.6875,3.4497685108267038,-0.14265247595734204,-0.9885002482427377,True,0.909,LAYER_TYPE.DENSE,0.46319900882232623,2.191,-0.04135,_orig_mod.model.layers.11.mlp.gate_proj,0,155.5,4096,196,4096,1,0.17498346505905027,0.909,171.0,success,0.95361328125,,0,0.9091796875,0.134521484375
168,Linear,0.04073154424987285,4096,11008,2.6875,3.721800788411203,-0.6905685056622349,-0.9901075657195552,True,0.6523,LAYER_TYPE.DENSE,0.01717380905874711,2.148,-0.1855,_orig_mod.model.layers.11.mlp.up_proj,0,140.5,4096,176,4096,1,0.20516345384666973,0.6523,215.4,success,0.8076171875,,0,0.65234375,0.127197265625
169,Linear,0.05431926820047017,4096,11008,2.6875,4.555801546880012,-2.175573199633131,-1.0029661055340948,True,0.333,LAYER_TYPE.DENSE,-1.2558515113701414,2.127,-0.4775,_orig_mod.model.layers.11.mlp.down_proj,0,133.9,4096,209,4096,1,0.24595993606142663,0.333,402.0,success,0.5771484375,,0,0.3330078125,0.10198974609375
175,Linear,0.044462044323667044,4096,4096,1.0,4.275848590102717,-1.3810907433364,-0.9451026763686663,True,0.4753,LAYER_TYPE.DENSE,-0.9164627466088489,1.745,-0.323,_orig_mod.model.layers.12.self_attn.q_proj,0,55.56,4096,39,4096,1,0.5245555868781456,0.4753,116.9,success,0.689453125,,48,0.475341796875,0.142333984375
176,Linear,0.029930460824997063,4096,4096,1.0,3.752545253726334,-0.1613566974640016,-0.9418880414150315,True,0.906,LAYER_TYPE.DENSE,-0.006322947274735985,1.771,-0.043,_orig_mod.model.layers.12.self_attn.k_proj,0,59.12,4096,63,4096,1,0.3467881054195745,0.906,65.25,success,0.95166015625,,48,0.90576171875,0.12744140625
177,Linear,0.06420069778901238,4096,4096,1.0,6.90991523750019,-6.0664197251100305,-0.9643904860904758,True,0.1324,LAYER_TYPE.DENSE,-5.5020134116484,1.554,-0.878,_orig_mod.model.layers.12.self_attn.v_proj,0,35.75,4096,38,4096,1,0.9587148485896289,0.1324,270.0,success,0.364013671875,under-trained,51,0.1324462890625,0.0703125
178,Linear,0.053696970986507164,4096,4096,1.0,7.9539733379459046,-7.437431124104691,-0.9716234147361544,True,0.11615,LAYER_TYPE.DENSE,-6.9517328021815015,1.573,-0.935,_orig_mod.model.layers.12.self_attn.o_proj,0,37.47,4096,34,4096,1,1.192596588576452,0.11615,322.5,success,0.3408203125,under-trained,44,0.11614990234375,0.06634521484375
